y1_statefips,state_abb,state_name,y2_statefips,y2_state,y2_state_name,n1,n2,AGI,n2_log_base2,AGI_per_person,log10AGI,region,log_base_e_AGI_per_person
1,AL,alabama,1,AL,alabama,1590633,3498183,111701780000,21.7381743320791,31931.3712290066,11.0480600937783,alabama,10.371344229635
1,AL,alabama,13,GA,georgia,7830,15636,433366000,13.9325838692893,27715.9119979534,8.63685483547571,georgia,10.2297619676071
1,AL,alabama,12,FL,florida,6902,13551,517167000,13.7261116991587,38164.4897055568,8.71363080511953,florida,10.5496607733992
1,AL,alabama,47,TN,tennessee,4109,7842,293025000,12.9370059265166,37366.1055853099,8.46690467461648,tennessee,10.5285193047212
1,AL,alabama,48,TX,texas,3803,7814,254186000,12.9318455401837,32529.5623240338,8.40515162690177,texas,10.3899045648436
1,AL,alabama,28,MS,mississippi,2431,4933,117760000,12.2682495719945,23871.8832353537,8.07099779699342,mississippi,10.0804566117111
1,AL,alabama,37,NC,north carolina,1747,3447,118007000,11.7511255833673,34234.69683783,8.07190776977397,north carolina,10.4409949361875
1,AL,alabama,6,CA,california,1502,2743,86102000,11.4215389068483,31389.7192854539,7.93501323947776,california,10.3542357069943
1,AL,alabama,51,VA,virginia,1278,2657,97916000,11.3755825124905,36852.0888219797,7.99085366365146,virginia,10.5146675804609
1,AL,alabama,8,CO,colorado,1026,1935,62243000,10.9181178510318,32166.9250645995,7.79409051669447,colorado,10.3786940317231
1,AL,alabama,22,LA,louisiana,1014,2006,60780000,10.9701058906122,30299.1026919242,7.78376069574392,louisiana,10.318873376931
1,AL,alabama,45,SC,south carolina,985,1939,63819000,10.9210970881068,32913.357400722,7.80494999481386,south carolina,10.4016338543797
1,AL,alabama,39,OH,ohio,833,1702,44947000,10.733015321686,26408.3431257344,7.65270070993075,ohio,10.1814352666982
1,AL,alabama,36,NY,new york,736,1351,35467000,10.3998119593257,26252.4056254626,7.54982445493524,new york,10.1755129066956
1,AL,alabama,26,MI,michigan,729,1531,33641000,10.5802585674998,21973.2201175702,7.52686889699588,michigan,9.99757972348557
1,AL,alabama,21,KY,kentucky,700,1534,43977000,10.5830827675029,28668.1877444589,7.64322559956128,kentucky,10.2635433460131
1,AL,alabama,17,IL,illinois,699,1398,38453000,10.4491486453754,27505.7224606581,7.58493022795073,illinois,10.2221493514855
1,AL,alabama,18,IN,indiana,626,1221,29529000,10.2538474849874,24184.2751842752,7.47024873982537,indiana,10.0934579151688
1,AL,alabama,53,WA,washington,577,1121,34271000,10.1305705628054,30571.8108831401,7.5349267769757,washington,10.3278336503938
1,AL,alabama,4,AZ,arizona,547,1028,32256000,10.0056245491939,31377.4319066148,7.50861051042941,arizona,10.3538441843981
1,AL,alabama,42,PA,pennsylvania,534,1046,30731000,10.0306671362469,29379.5411089866,7.48757669261615,pennsylvania,10.2880538304427
1,AL,alabama,29,MO,missouri,522,1134,31900000,10.1472049249422,28130.5114638448,7.50379068305718,missouri,10.2446100834674
1,AL,alabama,24,MD,maryland,433,840,28684000,9.71424551766612,34147.619047619,7.45763971382968,maryland,10.4384481421472
1,AL,alabama,5,AR,arkansas,416,871,26146000,9.76652890859886,30018.3696900115,7.41740525684369,arkansas,10.3095647962514
1,AL,alabama,40,OK,oklahoma,397,841,22058000,9.71596199025514,26228.2996432818,7.34356613238612,oklahoma,10.1745942458753
1,AL,alabama,20,KS,kansas,346,762,19276000,9.57364718749332,25296.5879265092,7.28501691762917,kansas,10.1384248010557
1,AL,alabama,34,NJ,new jersey,274,520,16027000,9.02236781302845,30821.1538461538,7.20485223692822,new jersey,10.3359565464002
1,AL,alabama,32,NV,nevada,269,492,16263000,8.94251450533924,33054.8780487805,7.21120066200026,nevada,10.4059244304183
1,AL,alabama,41,OR,oregon,260,465,13155000,8.8610869059954,28290.3225806452,7.11909085242172,oregon,10.2502750668692
1,AL,alabama,55,WI,wisconsin,257,550,13460000,9.10328780841202,24472.7272727273,7.12904505988796,wisconsin,10.1053146039543
1,AL,alabama,25,MA,massachusetts,249,421,15646000,8.7176764230664,37163.8954869359,7.19440332591001,massachusetts,10.5230930175448
1,AL,alabama,15,HI,hawaii,247,576,14584000,9.16992500144231,25319.4444444444,7.16387665564692,hawaii,10.1393279346447
1,AL,alabama,49,UT,utah,233,577,17720000,9.17242750864548,30710.5719237435,7.24846371755103,utah,10.3323622366331
1,AL,alabama,2,AK,alaska,218,489,13608000,8.93369065495223,27828.2208588957,7.13379430060451,alaska,10.233805923583
1,AL,alabama,27,MN,minnesota,218,416,13185000,8.70043971814109,31694.7115384615,7.12008013412945,minnesota,10.3639051175083
1,AL,alabama,35,NM,new mexico,182,345,11350000,8.43045255166553,32898.5507246377,7.05499586152914,new mexico,10.4011838848603
1,AL,alabama,19,IA,iowa,175,375,10248000,8.55074678538324,27328,7.01063911673663,iowa,10.2156670965883
1,AL,alabama,54,WV,west virginia,145,301,8273000,8.2336196767597,27485.049833887,6.91766302432737,west virginia,10.2213974934234
1,AL,alabama,9,CT,connecticut,142,265,8208000,8.04984854945056,30973.5849056604,6.91423734776774,connecticut,10.3408900204065
1,AL,alabama,31,NE,nebraska,119,230,6946000,7.84549005094437,30200,6.84173477897474,nebraska,10.315597203363
1,AL,alabama,11,DC,district of columbia,115,168,8651000,7.39231742277876,51494.0476190476,6.93706631201743,district of columbia,10.8492214997593
1,AL,alabama,16,ID,idaho,100,190,6976000,7.56985560833095,36715.7894736842,6.84360647192451,idaho,10.5109621724105
1,AL,alabama,30,MT,montana,94,198,6215000,7.62935662007961,31388.8888888889,6.79344113297766,montana,10.3542092522324
1,AL,alabama,23,ME,maine,83,147,4837000,7.19967234483636,32904.7619047619,6.68457608738846,maine,10.4013726650264
1,AL,alabama,56,WY,wyoming,82,173,5647000,7.43462822763672,32641.6184971098,6.75181778773688,wyoming,10.3933433941572
1,AL,alabama,38,ND,north dakota,70,149,3584000,7.21916852046216,24053.6912751678,6.55436800099009,north dakota,10.0880437471315
1,AL,alabama,33,NH,new hampshire,66,118,4659000,6.88264304936184,39483.0508474576,6.66829271044822,new hampshire,10.5836267663333
1,AL,alabama,10,DE,delaware,65,114,3107000,6.83289001416474,27254.3859649123,6.49234125325497,delaware,10.2129697399807
1,AL,alabama,46,SD,south dakota,53,102,3588000,6.6724253419715,35176.4705882353,6.55485243437205,south dakota,10.4681326888766
1,AL,alabama,44,RI,rhode island,37,61,1641000,5.93073733756289,26901.6393442623,6.21510858105309,rhode island,10.1999425058989
1,AL,alabama,50,VT,vermont,27,61,2871000,5.93073733756289,47065.5737704918,6.45803319249651,vermont,10.7592970949299
2,AK,alaska,2,AK,alaska,258818,562944,22469636000,19.102631888855,39914.5136994088,10.3515960370621,alaska,10.5944952886012
2,AK,alaska,53,WA,washington,1907,3591,127582000,11.8101699376647,35528.2651072125,8.10578940595173,washington,10.4780838588674
2,AK,alaska,48,TX,texas,1433,3230,116644000,11.6573184495813,36112.693498452,8.06686240421928,texas,10.4943997029727
2,AK,alaska,6,CA,california,1215,2237,61275000,11.1273495410591,27391.5958873491,7.78728331992412,california,10.2179915258883
2,AK,alaska,4,AZ,arizona,978,1882,81178000,10.8780509127285,43133.9001062699,7.90943834730569,arizona,10.6720645123162
2,AK,alaska,12,FL,florida,855,1757,53775000,10.7788984760084,30606.1468412066,7.7305804190595,florida,10.328956144931
2,AK,alaska,41,OR,oregon,796,1475,51218000,10.5264992391366,34724.0677966102,7.70942261579734,oregon,10.4551883219522
2,AK,alaska,8,CO,colorado,721,1466,51659000,10.5176693881338,35238.0627557981,7.71314599497153,colorado,10.4698821056616
2,AK,alaska,16,ID,idaho,512,1101,46127000,10.1045987535644,41895.5495004541,7.66395520995591,idaho,10.6429348830959
2,AK,alaska,37,NC,north carolina,512,1144,29714000,10.1598713367784,25973.7762237762,7.47296111901995,north carolina,10.1648427012397
2,AK,alaska,13,GA,georgia,499,1176,27601000,10.1996723448364,23470.2380952381,7.44092481708748,georgia,10.0634884334565
2,AK,alaska,32,NV,nevada,472,938,30658000,9.87344411251538,32684.4349680171,7.48654381988252,nevada,10.394654248702
2,AK,alaska,51,VA,virginia,431,954,29814000,9.89784545600551,31251.572327044,7.47442024712918,virginia,10.3498249683642
2,AK,alaska,15,HI,hawaii,356,774,24334000,9.59618975614441,31439.2764857881,7.38621350371676,hawaii,10.3558132337398
2,AK,alaska,47,TN,tennessee,335,728,20738000,9.5077946401987,28486.2637362637,7.31676687014143,tennessee,10.2571772759037
2,AK,alaska,49,UT,utah,322,668,18850000,9.38370429247405,28218.5628742515,7.27531135454181,utah,10.2477352983216
2,AK,alaska,26,MI,michigan,301,636,21013000,9.31288295528435,33039.3081761006,7.32248806051808,michigan,10.4054532884357
2,AK,alaska,30,MT,montana,295,583,22199000,9.1873520732005,38077.1869639794,7.34633341119552,montana,10.5473706144324
2,AK,alaska,27,MN,minnesota,278,521,17389000,9.02513956227851,33376.1996161228,7.24027460747889,minnesota,10.4155983386108
2,AK,alaska,36,NY,new york,270,572,14209000,9.15987133677839,24840.9090909091,7.15256351425654,new york,10.1202471332404
2,AK,alaska,42,PA,pennsylvania,249,452,13271000,8.82017896241519,29360.6194690265,7.12290364917332,pennsylvania,10.2874095815872
2,AK,alaska,45,SC,south carolina,241,508,13740000,8.98868468677217,27047.2440944882,7.13798673272353,south carolina,10.20534039718
2,AK,alaska,29,MO,missouri,239,523,14271000,9.03066713624694,27286.8068833652,7.15445440613956,missouri,10.2141586000176
2,AK,alaska,17,IL,illinois,233,449,15618000,8.81057163474115,34783.9643652561,7.19362541849288,illinois,10.4569117654625
2,AK,alaska,40,OK,oklahoma,231,548,13715000,9.09803208296053,25027.3722627737,7.13719581194055,oklahoma,10.1277253954058
2,AK,alaska,39,OH,ohio,228,442,12660000,8.78790255939143,28642.5339366516,7.10243370568134,ohio,10.2626480926026
2,AK,alaska,1,AL,alabama,228,602,15335000,9.2336196767597,25473.4219269103,7.1856837803185,alabama,10.1453909102217
2,AK,alaska,35,NM,new mexico,221,470,16914000,8.876516946565,35987.2340425532,7.22824632625525,new mexico,10.4909195446202
2,AK,alaska,55,WI,wisconsin,217,443,13938000,8.79116288855502,31462.7539503386,7.14420046018388,wisconsin,10.3565597109355
2,AK,alaska,20,KS,kansas,181,473,10863000,8.88569637333939,22966.1733615222,7.03594977953667,kansas,10.041777688924
2,AK,alaska,22,LA,louisiana,172,387,11683000,8.59618975614441,30188.6304909561,7.0675543766935,louisiana,10.3152206586695
2,AK,alaska,24,MD,maryland,172,379,12494000,8.56605403817109,32965.6992084433,7.09670150161,maryland,10.4032228819532
2,AK,alaska,21,KY,kentucky,159,353,10197000,8.46352437327118,28886.6855524079,7.00847241930272,kentucky,10.2711360604131
2,AK,alaska,18,IN,indiana,139,265,9265000,8.04984854945056,34962.2641509434,6.96684542365492,indiana,10.4620245917154
2,AK,alaska,34,NJ,new jersey,120,233,10590000,7.86418614465428,45450.643776824,7.02489596010748,new jersey,10.7243822640119
2,AK,alaska,38,ND,north dakota,109,221,6070000,7.78790255939143,27466.0633484163,6.78318869107526,north dakota,10.2207064615179
2,AK,alaska,31,NE,nebraska,107,231,7834000,7.85174904141606,33913.4199134199,6.89398356721185,nebraska,10.4315660826861
2,AK,alaska,23,ME,maine,105,211,8156000,7.72109918870718,38654.028436019,6.9114772171061,maine,10.5624062772004
2,AK,alaska,5,AR,arkansas,103,240,5747000,7.90689059560852,23945.8333333333,6.7594411971337,arkansas,10.0835496141479
2,AK,alaska,28,MS,mississippi,101,237,5355000,7.88874324889826,22594.9367088608,6.72875947516787,mississippi,10.0254811207289
2,AK,alaska,25,MA,massachusetts,95,161,4497000,7.33091687811462,27931.6770186335,6.65292288756794,massachusetts,10.2375167007684
2,AK,alaska,19,IA,iowa,94,236,6014000,7.88264304936184,25483.0508474576,6.7791634237645,iowa,10.145768837505
