y1_statefips,state_abb,state_name,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
1,AL,Alabama,96,AL,AL Total Migration-US and Foreign,45058,89699,2821594
1,AL,Alabama,97,AL,AL Total Migration-US,44502,88386,2786158
1,AL,Alabama,98,AL,AL Total Migration-Foreign,556,1313,35436
1,AL,Alabama,97,AL,AL Total Migration-Same State,63266,129762,3419262
1,AL,Alabama,1,AL,AL Non-migrants,1590633,3498183,111701780
1,AL,Alabama,13,GA,Georgia,7830,15636,433366
1,AL,Alabama,12,FL,Florida,6902,13551,517167
1,AL,Alabama,47,TN,Tennessee,4109,7842,293025
1,AL,Alabama,48,TX,Texas,3803,7814,254186
1,AL,Alabama,28,MS,Mississippi,2431,4933,117760
1,AL,Alabama,37,NC,North Carolina,1747,3447,118007
1,AL,Alabama,6,CA,California,1502,2743,86102
1,AL,Alabama,51,VA,Virginia,1278,2657,97916
1,AL,Alabama,8,CO,Colorado,1026,1935,62243
1,AL,Alabama,22,LA,Louisiana,1014,2006,60780
1,AL,Alabama,45,SC,South Carolina,985,1939,63819
1,AL,Alabama,39,OH,Ohio,833,1702,44947
1,AL,Alabama,36,NY,New York,736,1351,35467
1,AL,Alabama,26,MI,Michigan,729,1531,33641
1,AL,Alabama,21,KY,Kentucky,700,1534,43977
1,AL,Alabama,17,IL,Illinois,699,1398,38453
1,AL,Alabama,18,IN,Indiana,626,1221,29529
1,AL,Alabama,53,WA,Washington,577,1121,34271
1,AL,Alabama,57,FR,Foreign,556,1313,35436
1,AL,Alabama,4,AZ,Arizona,547,1028,32256
1,AL,Alabama,42,PA,Pennsylvania,534,1046,30731
1,AL,Alabama,29,MO,Missouri,522,1134,31900
1,AL,Alabama,24,MD,Maryland,433,840,28684
1,AL,Alabama,5,AR,Arkansas,416,871,26146
1,AL,Alabama,40,OK,Oklahoma,397,841,22058
1,AL,Alabama,20,KS,Kansas,346,762,19276
1,AL,Alabama,34,NJ,New Jersey,274,520,16027
1,AL,Alabama,32,NV,Nevada,269,492,16263
1,AL,Alabama,41,OR,Oregon,260,465,13155
1,AL,Alabama,55,WI,Wisconsin,257,550,13460
1,AL,Alabama,25,MA,Massachusetts,249,421,15646
1,AL,Alabama,15,HI,Hawaii,247,576,14584
1,AL,Alabama,49,UT,Utah,233,577,17720
1,AL,Alabama,2,AK,Alaska,218,489,13608
1,AL,Alabama,27,MN,Minnesota,218,416,13185
1,AL,Alabama,35,NM,New Mexico,182,345,11350
1,AL,Alabama,19,IA,Iowa,175,375,10248
1,AL,Alabama,54,WV,West Virginia,145,301,8273
1,AL,Alabama,9,CT,Connecticut,142,265,8208
1,AL,Alabama,31,NE,Nebraska,119,230,6946
1,AL,Alabama,11,DC,District Of Columbia,115,168,8651
1,AL,Alabama,16,ID,Idaho,100,190,6976
1,AL,Alabama,30,MT,Montana,94,198,6215
1,AL,Alabama,23,ME,Maine,83,147,4837
1,AL,Alabama,56,WY,Wyoming,82,173,5647
1,AL,Alabama,38,ND,North Dakota,70,149,3584
1,AL,Alabama,33,NH,New Hampshire,66,118,4659
1,AL,Alabama,10,DE,Delaware,65,114,3107
1,AL,Alabama,46,SD,South Dakota,53,102,3588
1,AL,Alabama,44,RI,Rhode Island,37,61,1641
1,AL,Alabama,50,VT,Vermont,27,61,2871
2,AK,Alaska,96,AK,AK Total Migration-US and Foreign,17087,35388,1139389
2,AK,Alaska,97,AK,AK Total Migration-US,16682,34463,1117592
2,AK,Alaska,98,AK,AK Total Migration-Foreign,405,925,21797
2,AK,Alaska,97,AK,AK Total Migration-Same State,6549,13007,409093
2,AK,Alaska,2,AK,AK Non-migrants,258818,562944,22469636
2,AK,Alaska,53,WA,Washington,1907,3591,127582
2,AK,Alaska,48,TX,Texas,1433,3230,116644
2,AK,Alaska,6,CA,California,1215,2237,61275
2,AK,Alaska,4,AZ,Arizona,978,1882,81178
2,AK,Alaska,12,FL,Florida,855,1757,53775
2,AK,Alaska,41,OR,Oregon,796,1475,51218
2,AK,Alaska,8,CO,Colorado,721,1466,51659
2,AK,Alaska,16,ID,Idaho,512,1101,46127
