"REC","TGT","YDS","YPR","LG","X20.","TD","ATT","RuYD","RuTD","FL","G","FPTS","Week"
9,11,184,20.4,64,9,2,0,0,0,0,1,39.4,1
13,15,128,9.8,28,3,1,0,0,0,0,1,31.8,1
10,17,141,14.1,41,5,1,0,0,0,0,1,30.1,1
10,16,129,12.9,24,2,1,0,0,0,0,1,28.9,1
9,13,121,13.4,28,2,1,0,0,0,0,1,27.1,1
8,9,122,15.3,53,5,1,0,0,0,0,1,26.2,1
10,13,155,15.5,54,4,0,0,0,0,0,1,25.5,1
5,8,57,11.4,21,2,2,0,0,0,0,1,22.7,1
4,4,54,13.5,25,1,2,0,0,0,0,1,21.4,1
5,8,102,20.4,75,4,1,0,0,0,0,1,21.2,1
8,12,64,8,29,1,1,0,0,0,0,1,20.4,1
4,7,102,25.5,67,4,1,0,0,0,0,1,20.2,1
8,11,55,6.9,13,0,1,4,17,0,1,1,19.2,1
4,5,88,22,47,4,1,0,0,0,0,1,18.8,1
7,9,114,16.3,40,5,0,0,0,0,0,1,18.4,1
5,7,71,14.2,20,1,1,0,0,0,0,1,18.1,1
3,5,40,13.3,24,1,2,1,-10,0,0,1,18,1
8,12,94,11.8,26,2,0,1,6,0,0,1,18,1
6,12,117,19.5,49,4,0,0,0,0,0,1,17.7,1
4,5,69,17.3,42,3,1,1,8,0,0,1,17.7,1
3,4,64,21.3,30,3,1,0,0,0,0,1,15.4,1
4,8,52,13,22,1,1,0,0,0,0,1,15.2,1
7,12,82,11.7,42,3,0,0,0,0,0,1,15.2,1
2,4,71,35.5,65,4,1,0,0,0,0,1,15.1,1
4,6,43,10.8,26,1,1,0,0,0,0,1,14.3,1
2,5,59,29.5,55,4,1,0,0,0,0,1,13.9,1
2,4,58,29,49,3,1,0,0,0,0,1,13.8,1
6,10,77,12.8,17,0,0,0,0,0,0,1,13.7,1
7,9,63,9,24,1,0,0,0,0,0,1,13.3,1
4,7,33,8.3,22,1,1,0,0,0,0,1,13.3,1
2,7,14,7,8,0,0,8,52,1,1,1,12.6,1
7,12,55,7.9,25,1,0,0,0,0,0,1,12.5,1
6,9,65,10.8,18,0,0,0,0,0,0,1,12.5,1
5,7,74,14.8,31,2,0,0,0,0,0,1,12.4,1
1,1,51,51,51,4,1,0,0,0,0,1,12.1,1
6,11,60,10,15,0,0,0,0,0,0,1,12,1
6,8,79,13.2,20,1,0,0,0,0,1,1,11.9,1
5,9,68,13.6,22,1,0,0,0,0,0,1,11.8,1
3,5,69,23,48,3,0,2,17,0,0,1,11.6,1
4,7,72,18,30,2,0,0,0,0,0,1,11.2,1
5,6,59,11.8,16,0,0,1,2,0,0,1,11.1,1
4,4,66,16.5,42,3,0,0,0,0,0,1,10.6,1
3,6,16,5.3,8,0,1,0,0,0,0,1,10.6,1
6,9,66,11,21,2,0,0,0,0,1,1,10.6,1
4,6,62,15.5,44,3,0,0,0,0,0,1,10.2,1
4,6,55,13.8,27,1,0,1,7,0,0,1,10.2,1
2,3,19,9.5,12,0,1,0,0,0,0,1,9.9,1
5,7,49,9.8,24,1,0,0,0,0,0,1,9.9,1
4,6,18,4.5,6,0,0,6,36,0,0,1,9.4,1
4,8,52,13,19,0,0,0,0,0,0,1,9.2,1
3,3,41,13.7,20,1,0,0,0,0,0,1,9.1,1
1,3,18,18,18,0,1,0,0,0,0,1,8.8,1
4,5,37,9.3,23,1,0,1,11,0,0,1,8.8,1
5,6,37,7.4,13,0,0,0,0,0,0,1,8.7,1
7,7,36,5.1,15,0,0,0,0,0,1,1,8.6,1
3,5,55,18.3,27,2,0,0,0,0,0,1,8.5,1
4,4,44,11,17,0,0,1,-3,0,0,1,8.1,1
3,6,43,14.3,26,1,0,1,7,0,0,1,8,1
4,6,38,9.5,12,0,0,0,0,0,0,1,7.8,1
3,6,46,15.3,23,1,0,0,0,0,0,1,7.6,1
4,4,49,12.3,22,1,0,0,0,0,1,1,6.9,1
3,3,38,12.7,18,0,0,0,0,0,0,1,6.8,1
3,4,37,12.3,20,1,0,0,0,0,0,1,6.7,1
2,3,40,20,31,2,0,1,7,0,0,1,6.7,1
3,4,36,12,22,1,0,0,0,0,0,1,6.6,1
3,3,35,11.7,24,1,0,0,0,0,0,1,6.5,1
4,6,25,6.3,12,0,0,0,0,0,0,1,6.5,1
3,3,31,10.3,11,0,0,0,0,0,0,1,6.1,1
2,4,34,17,25,1,0,1,7,0,0,1,6.1,1
3,4,28,9.3,17,0,0,0,0,0,0,1,5.8,1
3,4,28,9.3,11,0,0,0,0,0,0,1,5.8,1
2,2,36,18,20,1,0,0,0,0,0,1,5.6,1
1,1,41,41,41,3,0,0,0,0,0,1,5.1,1
3,6,21,7,9,0,0,0,0,0,0,1,5.1,1
1,2,19,19,19,0,0,2,20,0,0,1,4.9,1
2,11,29,14.5,16,0,0,0,0,0,0,1,4.9,1
3,3,18,6,9,0,0,0,0,0,0,1,4.8,1
2,2,20,10,12,0,0,1,8,0,0,1,4.8,1
2,2,27,13.5,18,0,0,0,0,0,0,1,4.7,1
3,6,17,5.7,9,0,0,0,0,0,0,1,4.7,1
2,3,26,13,18,0,0,0,0,0,0,1,4.6,1
3,4,14,4.7,7,0,0,0,0,0,0,1,4.4,1
2,2,22,11,16,0,0,0,0,0,0,1,4.2,1
2,2,22,11,15,0,0,0,0,0,0,1,4.2,1
1,1,30,30,30,2,0,0,0,0,0,1,4,1
3,4,5,1.7,5,0,0,1,4,0,0,1,3.9,1
2,4,19,9.5,11,0,0,0,0,0,0,1,3.9,1
1,3,28,28,28,1,0,0,0,0,0,1,3.8,1
3,5,28,9.3,17,0,0,0,0,0,1,1,3.8,1
2,5,16,8,11,0,0,0,0,0,0,1,3.6,1
1,5,5,5,5,0,0,0,0,0,0,1,3.5,1
2,3,14,7,8,0,0,0,0,0,0,1,3.4,1
2,4,13,6.5,8,0,0,0,0,0,0,1,3.3,1
2,2,13,6.5,7,0,0,0,0,0,0,1,3.3,1
2,3,12,6,7,0,0,0,0,0,0,1,3.2,1
1,2,22,22,22,1,0,0,0,0,0,1,3.2,1
1,1,22,22,22,1,0,0,0,0,0,1,3.2,1
2,4,10,5,6,0,0,0,0,0,0,1,3,1
1,2,20,20,20,1,0,0,0,0,0,1,3,1
1,1,17,17,17,0,0,0,0,0,0,1,2.7,1
1,1,16,16,16,0,0,0,0,0,0,1,2.6,1
1,2,13,13,13,0,0,0,0,0,0,1,2.3,1
1,2,13,13,13,0,0,0,0,0,0,1,2.3,1
0,0,0,0,0,0,0,2,23,0,0,1,2.3,1
1,1,10,10,10,0,0,1,3,0,0,1,2.3,1
1,1,6,6,6,0,0,1,6,0,0,1,2.2,1
1,3,12,12,12,0,0,0,0,0,0,1,2.2,1
1,2,12,12,12,0,0,0,0,0,0,1,2.2,1
1,3,10,10,10,0,0,0,0,0,0,1,2,1
1,2,9,9,9,0,0,0,0,0,0,1,1.9,1
1,3,8,8,8,0,0,0,0,0,0,1,1.8,1
1,2,8,8,8,0,0,0,0,0,0,1,1.8,1
1,1,7,7,7,0,0,0,0,0,0,1,1.7,1
1,1,5,5,5,0,0,0,0,0,0,1,1.5,1
1,1,4,4,4,0,0,0,0,0,0,1,1.4,1
1,3,3,3,3,0,0,0,0,0,0,1,1.3,1
1,2,0,0,0,0,0,0,0,0,0,1,1,1
