"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","DeVonta Smith (PHI)","8","12","169","21.1","45","8","1","0","0","0","0","1","30.9","30.9","92.7%"
"2","Mack Hollins (LV)","8","11","158","19.8","60","8","1","0","0","0","0","1","30.0","30.0","25.6%"
"3","Marquise Brown (ARI)","14","17","140","10.0","20","1","0","0","0","0","0","1","28.0","28.0","89.3%"
"4","Russell Gage (TB)","12","13","87","7.3","15","0","1","0","0","0","1","1","24.7","24.7","17.6%"
"5","Zay Jones (JAC)","10","11","85","8.5","16","0","1","1","0","0","0","1","24.5","24.5","55.4%"
"6","Chris Olave (NO)","9","13","147","16.3","49","5","0","0","0","0","0","1","23.7","23.7","93.2%"
"7","Amari Cooper (CLE)","7","11","101","14.4","32","3","1","0","0","0","0","1","23.1","23.1","96.2%"
"8","CeeDee Lamb (DAL)","8","12","87","10.9","26","1","1","0","0","0","0","1","22.7","22.7","99.9%"
"9","Romeo Doubs (GB)","8","8","73","9.1","21","1","1","0","0","0","0","1","21.3","21.3","16.2%"
"10","Isaiah McKenzie (BUF)","7","9","76","10.9","27","1","1","1","6","0","0","1","21.2","21.2","33.4%"
"11","DeVante Parker (NE)","5","10","156","31.2","40","9","0","0","0","0","0","1","20.6","20.6","13.6%"
"12","Tyler Boyd (CIN)","4","5","105","26.3","56","5","1","0","0","0","0","1","20.5","20.5","77.7%"
"13","A.J. Brown (PHI)","5","10","85","17.0","38","2","1","0","0","0","0","1","19.5","19.5","99.9%"
"14","Christian Kirk (JAC)","6","9","72","12.0","35","2","1","0","0","0","0","1","19.2","19.2","94.9%"
"15","K.J. Osborn (MIN)","5","8","73","14.6","28","2","1","0","0","0","0","1","18.3","18.3","3.4%"
"16","Adam Thielen (MIN)","6","8","61","10.2","15","0","1","0","0","0","0","1","18.1","18.1","90.1%"
"17","Courtland Sutton (DEN)","8","10","97","12.1","34","2","0","0","0","0","0","1","17.7","17.7","83.1%"
"18","DK Metcalf (SEA)","5","12","64","12.8","18","0","1","0","0","0","0","1","17.4","17.4","97.8%"
"19","Greg Dortch (ARI)","9","10","80","8.9","30","2","0","0","0","0","0","1","17.0","17.0","4.0%"
"20","Laviska Shenault Jr. (CAR)","2","2","90","45.0","67","5","1","0","0","0","0","1","17.0","17.0","0.9%"
"21","Tyler Lockett (SEA)","9","11","76","8.4","20","1","0","0","0","0","0","1","16.6","16.6","94.7%"
"22","Cooper Kupp (LAR)","4","6","44","11.0","14","0","0","1","20","1","0","1","16.4","16.4","87.0%"
"23","Diontae Johnson (PIT)","8","11","84","10.5","16","0","0","0","0","0","0","1","16.4","16.4","84.5%"
"24","Terry McLaurin (WAS)","6","9","102","17.0","45","3","0","0","0","0","0","1","16.2","16.2","97.5%"
"25","Joshua Palmer (LAC)","6","9","99","16.5","45","3","0","0","0","0","0","1","15.9","15.9","74.3%"
