"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","9","11","184","20.4","64","9","2","0","0","0","0","1","39.4","39.4","100.0%"
"2","Cooper Kupp (LAR)","13","15","128","9.8","28","3","1","0","0","0","0","1","31.8","31.8","87.0%"
"3","Davante Adams (LV)","10","17","141","14.1","41","5","1","0","0","0","0","1","30.1","30.1","100.0%"
"4","Ja'Marr Chase (CIN)","10","16","129","12.9","24","2","1","0","0","0","0","1","28.9","28.9","99.9%"
"5","Michael Pittman Jr. (IND)","9","13","121","13.4","28","2","1","0","0","0","0","1","27.1","27.1","96.4%"
"6","Stefon Diggs (BUF)","8","9","122","15.3","53","5","1","0","0","0","0","1","26.2","26.2","100.0%"
"7","A.J. Brown (PHI)","10","13","155","15.5","54","4","0","0","0","0","0","1","25.5","25.5","99.9%"
"8","Michael Thomas (NO)","5","8","57","11.4","21","2","2","0","0","0","0","1","22.7","22.7","27.2%"
"9","Devin Duvernay (BAL)","4","4","54","13.5","25","1","2","0","0","0","0","1","21.4","21.4","39.6%"
"10","Robbie Anderson (ARI)","5","8","102","20.4","75","4","1","0","0","0","0","1","21.2","21.2","6.9%"
"11","Amon-Ra St. Brown (DET)","8","12","64","8.0","29","1","1","0","0","0","0","1","20.4","20.4","99.1%"
"12","Jerry Jeudy (DEN)","4","7","102","25.5","67","4","1","0","0","0","0","1","20.2","20.2","87.0%"
"13","Curtis Samuel (WAS)","8","11","55","6.9","13","0","1","4","17","0","1","1","19.2","19.2","61.8%"
"14","Gabe Davis (BUF)","4","5","88","22.0","47","4","1","0","0","0","0","1","18.8","18.8","95.0%"
"15","Jarvis Landry (NO)","7","9","114","16.3","40","5","0","0","0","0","0","1","18.4","18.4","22.3%"
"16","Mike Evans (TB)","5","7","71","14.2","20","1","1","0","0","0","0","1","18.1","18.1","98.7%"
"17","Jahan Dotson (WAS)","3","5","40","13.3","24","1","2","1","-10","0","0","1","18.0","18.0","20.9%"
"18","Tyreek Hill (MIA)","8","12","94","11.8","26","2","0","1","6","0","0","1","18.0","18.0","100.0%"
"19","Christian Kirk (JAC)","6","12","117","19.5","49","4","0","0","0","0","0","1","17.7","17.7","94.9%"
"20","Jaylen Waddle (MIA)","4","5","69","17.3","42","3","1","1","8","0","0","1","17.7","17.7","99.3%"
"21","DeAndre Carter (LAC)","3","4","64","21.3","30","3","1","0","0","0","0","1","15.4","15.4","16.6%"
"22","D.J. Chark Jr. (DET)","4","8","52","13.0","22","1","1","0","0","0","0","1","15.2","15.2","31.3%"
"23","Brandin Cooks (HOU)","7","12","82","11.7","42","3","0","0","0","0","0","1","15.2","15.2","66.9%"
"24","Sterling Shepard (NYG)","2","4","71","35.5","65","4","1","0","0","0","0","1","15.1","15.1","1.3%"
"25","Marquise Brown (ARI)","4","6","43","10.8","26","1","1","0","0","0","0","1","14.3","14.3","89.3%"
"26","Rashod Bateman (BAL)","2","5","59","29.5","55","4","1","0","0","0","0","1","13.9","13.9","23.7%"
"27","Terry McLaurin (WAS)","2","4","58","29.0","49","3","1","0","0","0","0","1","13.8","13.8","97.5%"
"28","Corey Davis (NYJ)","6","10","77","12.8","17","0","0","0","0","0","0","1","13.7","13.7","20.6%"
"29","Greg Dortch (ARI)","7","9","63","9.0","24","1","0","0","0","0","0","1","13.3","13.3","4.0%"
"30","Tyler Boyd (CIN)","4","7","33","8.3","22","1","1","0","0","0","0","1","13.3","13.3","77.7%"
"31","Deebo Samuel (SF)","2","7","14","7.0","8","0","0","8","52","1","1","1","12.6","12.6","99.2%"
"32","Diontae Johnson (PIT)","7","12","55","7.9","25","1","0","0","0","0","0","1","12.5","12.5","84.5%"
"33","Zay Jones (JAC)","6","9","65","10.8","18","0","0","0","0","0","0","1","12.5","12.5","55.4%"
"34","Drake London (ATL)","5","7","74","14.8","31","2","0","0","0","0","0","1","12.4","12.4","66.3%"
"35","Dante Pettis (CHI)","1","1","51","51.0","51","4","1","0","0","0","0","1","12.1","12.1","0.1%"
"36","Donovan Peoples-Jones (CLE)","6","11","60","10.0","15","0","0","0","0","0","0","1","12.0","12.0","51.2%"
"37","JuJu Smith-Schuster (KC)","6","8","79","13.2","20","1","0","0","0","0","1","1","11.9","11.9","92.7%"
"38","Noah Brown (DAL)","5","9","68","13.6","22","1","0","0","0","0","0","1","11.8","11.8","1.8%"
"39","Julio Jones (TB)","3","5","69","23.0","48","3","0","2","17","0","0","1","11.6","11.6","19.7%"
"40","Courtland Sutton (DEN)","4","7","72","18.0","30","2","0","0","0","0","0","1","11.2","11.2","83.1%"
"41","Richie James Jr. (NYG)","5","6","59","11.8","16","0","0","1","2","0","0","1","11.1","11.1","6.0%"
"42","Keenan Allen (LAC)","4","4","66","16.5","42","3","0","0","0","0","0","1","10.6","10.6","97.8%"
"43","Mecole Hardman (KC)","3","6","16","5.3","8","0","1","0","0","0","0","1","10.6","10.6","27.3%"
"44","Kyle Philips (TEN)","6","9","66","11.0","21","2","0","0","0","0","1","1","10.6","10.6","0.2%"
"45","Jauan Jennings (SF)","4","6","62","15.5","44","3","0","0","0","0","0","1","10.2","10.2","0.7%"
"46","Jakobi Meyers (NE)","4","6","55","13.8","27","1","0","1","7","0","0","1","10.2","10.2","72.7%"
"47","Isaiah McKenzie (BUF)","2","3","19","9.5","12","0","1","0","0","0","0","1","9.9","9.9","33.4%"
"48","Elijah Moore (NYJ)","5","7","49","9.8","24","1","0","0","0","0","0","1","9.9","9.9","30.0%"
"49","Chase Claypool (CHI)","4","6","18","4.5","6","0","0","6","36","0","0","1","9.4","9.4","49.8%"
"50","Garrett Wilson (NYJ)","4","8","52","13.0","19","0","0","0","0","0","0","1","9.2","9.2","89.0%"
"51","Chris Olave (NO)","3","3","41","13.7","20","1","0","0","0","0","0","1","9.1","9.1","93.2%"
"52","Equanimeous St. Brown (CHI)","1","3","18","18.0","18","0","1","0","0","0","0","1","8.8","8.8","0.2%"
"53","Romeo Doubs (GB)","4","5","37","9.3","23","1","0","1","11","0","0","1","8.8","8.8","16.2%"
"54","Braxton Berrios (NYJ)","5","6","37","7.4","13","0","0","0","0","0","0","1","8.7","8.7","1.0%"
"55","DK Metcalf (SEA)","7","7","36","5.1","15","0","0","0","0","0","1","1","8.6","8.6","97.8%"
"56","Treylon Burks (TEN)","3","5","55","18.3","27","2","0","0","0","0","0","1","8.5","8.5","50.2%"
